n,k,seed,nodes,restarts,peak depth,solving time,conflicts,propagations,sb propagations,sb prop / all prop,scc propagations,scc prop / all prop,average conflict size,unit nogoods learned,average nogood length,average backtrack amount,average lbd,base time,sb time,scc time
20,2,771293169,1,0,1,2.38e-05,0,556,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.9e-06,0.0,0.0
20,2,400965396,2,0,2,0.0001437,1,801,0,0.0,0,0.0,17.0,0,2.0,0.0,2.0,9.2e-06,0.0,0.0
20,2,101158851,1,0,1,4.12e-05,0,566,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0300000000000001e-05,0.0,0.0
20,2,524384390,6,0,3,0.0002399,5,1433,0,0.0,0,0.0,2.4,1,2.2,0.0,2.0,1.4200000000000001e-05,0.0,0.0
20,2,391691071,7,0,5,9.88e-05,1,665,0,0.0,0,0.0,2.0,1,1.0,0.0,1.0,1.88e-05,0.0,0.0
20,2,232682649,4,0,4,6.99e-05,1,864,0,0.0,0,0.0,2.0,1,1.0,0.0,1.0,1.15e-05,0.0,0.0
20,3,389095566,10,0,5,0.0001945,5,978,0,0.0,0,0.0,2.4,1,3.2,0.0,1.8,1.27e-05,0.0,0.0
20,2,980320599,2,0,1,0.0002021,1,764,0,0.0,0,0.0,2.0,1,1.0,0.0,1.0,1.0300000000000001e-05,0.0,0.0
20,3,650745801,10,0,8,0.0002986,3,866,0,0.0,0,0.0,7.333333333333333,0,6.0,0.0,4.0,3.1100000000000004e-05,0.0,0.0
20,3,185718633,64,0,10,0.0017844,34,5773,0,0.0,0,0.0,2.411764705882353,0,4.352941176470588,0.0,3.323529411764706,0.0002197,0.0,0.0
20,3,976582698,102,0,7,0.0034101,87,12488,0,0.0,0,0.0,2.264367816091954,6,3.7241379310344827,0.0,2.5517241379310347,0.0002119,0.0,0.0
20,2,867257055,4,0,2,8.87e-05,1,714,0,0.0,0,0.0,2.0,1,1.0,0.0,1.0,1.13e-05,0.0,0.0
20,2,967515243,5,0,3,0.0002044,2,937,0,0.0,0,0.0,2.0,0,2.0,0.0,2.0,2.36e-05,0.0,0.0
20,3,596258787,8,0,4,0.0002845,4,1011,0,0.0,0,0.0,3.5,0,2.75,0.0,2.25,1.8900000000000002e-05,0.0,0.0
20,3,186231933,33,0,7,0.0004896,19,2590,0,0.0,0,0.0,3.6315789473684212,1,2.8421052631578947,0.0,2.5789473684210527,3.3900000000000004e-05,0.0,0.0
20,3,939814895,69,0,8,0.0009996,34,6121,0,0.0,0,0.0,4.411764705882353,0,3.9411764705882355,0.0,3.0,9.65e-05,0.0,0.0
20,3,676594005,116,0,9,0.0027863,50,8983,0,0.0,0,0.0,2.32,2,5.26,0.0,2.98,0.0002334,0.0,0.0
20,3,733155874,50,0,6,0.0016962,38,6417,0,0.0,0,0.0,2.9210526315789473,1,4.473684210526316,0.0,2.8157894736842106,0.0001123,0.0,0.0
20,3,390406236,30,0,8,0.0012544,17,4633,0,0.0,0,0.0,2.0,1,4.764705882352941,0.0,2.8823529411764706,9.22e-05,0.0,0.0
20,3,675449790,29,0,6,0.0004129,14,2076,0,0.0,0,0.0,3.2857142857142856,2,2.642857142857143,0.0,2.0,3.03e-05,0.0,0.0
20,3,957040469,30,0,7,0.0008258,18,3277,0,0.0,0,0.0,3.111111111111111,1,3.5555555555555554,0.0,2.7222222222222223,6.96e-05,0.0,0.0
20,3,396685454,27,0,6,0.0008702,20,2902,0,0.0,0,0.0,3.8,0,3.75,0.0,2.95,5.8200000000000005e-05,0.0,0.0
20,3,928078750,42,0,7,0.0014492,25,3813,0,0.0,0,0.0,3.2,1,3.44,0.0,2.72,0.0001129,0.0,0.0
20,3,962354371,6,0,6,3.95e-05,0,575,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,8.5e-06,0.0,0.0
20,3,169587701,14,0,7,0.0004309,7,1547,0,0.0,0,0.0,4.428571428571429,0,4.0,0.0,2.7142857142857144,2.8100000000000002e-05,0.0,0.0
20,3,293121268,64,0,7,0.0008982,28,5120,0,0.0,0,0.0,3.9642857142857144,10,2.4285714285714284,0.0,1.8928571428571428,0.0001,0.0,0.0
20,3,174425500,7,0,5,0.0001265,2,836,0,0.0,0,0.0,3.0,0,2.5,0.0,2.0,1.32e-05,0.0,0.0
20,3,487729567,15,0,5,0.0006451,10,2349,0,0.0,0,0.0,2.8,0,4.9,0.0,3.6,3.29e-05,0.0,0.0
20,3,965977770,15,0,5,0.0007246,10,1744,0,0.0,0,0.0,4.7,0,4.4,0.0,3.2,4.2900000000000006e-05,0.0,0.0
20,3,446937496,40,0,5,0.0010957,26,5741,0,0.0,0,0.0,4.615384615384615,1,3.1153846153846154,0.0,2.576923076923077,6.48e-05,0.0,0.0
20,3,767202647,26,0,9,0.0004095,14,2157,0,0.0,0,0.0,3.357142857142857,0,3.5,0.0,2.7142857142857144,3.4500000000000005e-05,0.0,0.0
20,3,233819329,102,0,9,0.0034589,76,13465,0,0.0,0,0.0,2.8157894736842106,1,5.105263157894737,0.0,3.5789473684210527,0.000231,0.0,0.0
20,3,100709618,54,0,7,0.0012389,38,6442,0,0.0,0,0.0,3.3947368421052633,1,4.552631578947368,0.0,3.473684210526316,8.170000000000001e-05,0.0,0.0
20,3,574236426,86,0,8,0.0032568,68,12440,0,0.0,0,0.0,9.455882352941176,2,4.852941176470588,0.0,4.073529411764706,0.0001818,0.0,0.0
20,3,455347203,46,0,5,0.0012451,29,5979,0,0.0,0,0.0,3.1724137931034484,6,2.7241379310344827,0.0,2.0689655172413794,7.350000000000001e-05,0.0,0.0
20,3,437774877,6,0,4,0.0001986,2,747,0,0.0,0,0.0,2.0,0,3.0,0.0,2.5,2.02e-05,0.0,0.0
20,3,864008355,21,0,6,0.0008735,14,3226,0,0.0,0,0.0,2.142857142857143,1,4.571428571428571,0.0,3.0,5.5e-05,0.0,0.0
20,3,185749437,29,0,6,0.0005827,14,1905,0,0.0,0,0.0,2.7857142857142856,2,3.2142857142857144,0.0,2.142857142857143,5.03e-05,0.0,0.0
20,3,167335925,44,0,7,0.001551,27,5361,0,0.0,0,0.0,2.7777777777777777,1,4.407407407407407,0.0,3.074074074074074,0.0001276,0.0,0.0
20,3,518036043,45,0,5,0.0016154,35,6167,0,0.0,0,0.0,5.4,1,4.114285714285714,0.0,2.942857142857143,6.55e-05,0.0,0.0
20,3,115954786,17,0,5,0.0003889,4,1752,0,0.0,0,0.0,4.0,0,2.5,0.0,2.5,4.22e-05,0.0,0.0
20,3,44398288,43,0,7,0.0014656,31,5409,0,0.0,0,0.0,3.193548387096774,3,3.5806451612903225,0.0,2.2903225806451615,9.83e-05,0.0,0.0
20,3,188331523,14,0,8,0.0002228,3,862,0,0.0,0,0.0,2.0,1,2.3333333333333335,0.0,1.6666666666666667,3.0200000000000002e-05,0.0,0.0
20,3,979552279,6,0,6,7.73e-05,0,581,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5600000000000002e-05,0.0,0.0
20,3,625658781,6,0,4,0.0002699,2,786,0,0.0,0,0.0,9.5,0,4.5,0.0,3.5,1.9200000000000003e-05,0.0,0.0
20,3,858625542,43,0,7,0.0005347,21,3229,0,0.0,0,0.0,2.2857142857142856,0,3.142857142857143,0.0,2.4761904761904763,5.2600000000000005e-05,0.0,0.0
20,3,23958893,23,0,9,0.0004688,11,2123,0,0.0,0,0.0,4.363636363636363,0,4.7272727272727275,0.0,3.5454545454545454,4.39e-05,0.0,0.0
20,3,574948566,23,0,5,0.0007906,15,2619,0,0.0,0,0.0,3.533333333333333,2,2.8,0.0,2.3333333333333335,7.02e-05,0.0,0.0
20,3,873993315,15,0,6,0.0007072,10,2054,0,0.0,0,0.0,7.7,0,5.7,0.0,3.7,3.93e-05,0.0,0.0
20,3,738437317,43,0,8,0.0014204,31,4661,0,0.0,0,0.0,2.4516129032258065,1,4.451612903225806,0.0,3.5161290322580645,0.00012080000000000001,0.0,0.0
20,3,67458015,17,0,7,0.0005409,10,1975,0,0.0,0,0.0,3.0,2,3.0,0.0,2.5,5.5100000000000004e-05,0.0,0.0
20,3,211607036,38,0,8,0.0009834,27,4480,0,0.0,0,0.0,3.1481481481481484,0,5.222222222222222,0.0,3.037037037037037,5.67e-05,0.0,0.0
20,3,570420625,61,0,6,0.0024377,55,9987,0,0.0,0,0.0,2.672727272727273,1,5.345454545454546,0.0,3.090909090909091,0.00010810000000000001,0.0,0.0
20,3,965234153,23,0,7,0.0004716,12,1957,0,0.0,0,0.0,4.25,3,2.5833333333333335,0.0,2.1666666666666665,2.97e-05,0.0,0.0
20,3,431728687,77,0,8,0.0027477,65,10431,0,0.0,0,0.0,5.430769230769231,4,3.646153846153846,0.0,2.7846153846153845,0.00016150000000000002,0.0,0.0
20,3,75003941,64,0,7,0.0010042,28,5632,0,0.0,0,0.0,2.857142857142857,4,3.5,0.0,2.25,8.44e-05,0.0,0.0
20,3,711315737,4,0,4,4.73e-05,0,571,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5700000000000002e-05,0.0,0.0
20,3,89297083,38,0,6,0.0008714,28,4467,0,0.0,0,0.0,2.642857142857143,2,3.75,0.0,2.2857142857142856,7.570000000000001e-05,0.0,0.0
20,3,345689762,88,0,7,0.0017344,59,8931,0,0.0,0,0.0,2.2033898305084745,3,3.5254237288135593,0.0,2.4237288135593222,0.00017270000000000002,0.0,0.0
20,3,974631689,42,0,5,0.0015756,33,6352,0,0.0,0,0.0,5.696969696969697,1,3.6666666666666665,0.0,2.3636363636363638,9.71e-05,0.0,0.0
20,3,216575824,80,0,6,0.0022631,68,9404,0,0.0,0,0.0,2.3970588235294117,1,4.720588235294118,0.0,3.3676470588235294,0.00012670000000000002,0.0,0.0
